vote_id,user_id,session_id,contest_id,match_number,chosen_option,model,timestamp,tag
,,,,,,,,
3c55ea9e-5f24-46e3-99b2-f79752ef72fe,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,2.0,20240920_121156.mp4,SM-S928N,2025-01-30T23:10:29.870442,주간
176128e9-b415-4a3f-8004-d142a693b22b,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,3.0,A001_09201219_C007.mov,"Apple iPhone17,2 24mm",2025-01-30T23:10:29.870462,실내
d3eeba39-1ffd-4565-b5f1-b17a2324b3e0,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,4.0,A001_09201133_C004.mov,"Apple iPhone17,2 24mm",2025-01-30T23:10:29.870469,주간
82bb1482-d5b4-470d-bf03-f9d3a7e00104,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,1.0,20240920_190937.mp4,SM-S928N,2025-01-30T23:24:32.985118,야간
55edc4f2-3ae2-4327-915a-54bd5efe38d2,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,2.0,20240920_121156.mp4,SM-S928N,2025-01-30T23:24:32.985129,주간
d84b9e10-f105-4c07-bdc4-51a4af78a168,anonymous,881b2969-8ac6-45b1-a0fc-ca5c595c8216,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-30T23:24:32.985135,인물
fdec9f18-3c72-4029-9d4a-42c456904030,anonymous,a55d0d72-ab75-4ca9-ab39-c007579075cc,2.0,2.0,20240920_121156.mp4,SM-S928N,2025-01-31T00:05:48.569853,주간
10ba85ca-9b9c-4737-97da-7b4b6282a112,anonymous,a55d0d72-ab75-4ca9-ab39-c007579075cc,2.0,3.0,A001_09201219_C007.mov,"Apple iPhone17,2 24mm",2025-01-31T00:05:48.569867,실내
25b7e5cf-38dc-40e6-9275-b1c052419987,anonymous,a55d0d72-ab75-4ca9-ab39-c007579075cc,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-31T00:05:48.569873,인물
0446effc-3342-4324-bfa5-ad7b43b005a0,anonymous,a55d0d72-ab75-4ca9-ab39-c007579075cc,2.0,1.0,20240920_190937.mp4,SM-S928N,2025-01-31T00:05:48.569877,야간
a154341d-1c47-4c15-8860-17af24a3ee15,anonymous,b9b97b41-a960-4e38-8586-482651f8514b,2.0,4.0,A001_09201133_C004.mp4,Galaxy S24 Ultra,2025-01-31T00:08:10.814277,주간
20f39bca-afd3-4a54-a2eb-f25502d8c193,anonymous,b9b97b41-a960-4e38-8586-482651f8514b,2.0,5.0,20240920_144703.mp4,Galaxy S24 Ultra,2025-01-31T00:08:10.814296,인물
5ca4c622-743a-4c5c-b574-b050b287f0e5,anonymous,b9b97b41-a960-4e38-8586-482651f8514b,2.0,2.0,IMG_0022.MOV,iPhone 16 Pro Max,2025-01-31T00:08:10.814303,주간
c96cb392-8ea2-4ca9-ba50-7b2d746bf16d,anonymous,59d0a107-29e7-4577-afe4-9afb9205b639,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-31T01:29:30.908085,인물
72f62e57-70ab-4325-bd7b-a48b9407b6d2,anonymous,59d0a107-29e7-4577-afe4-9afb9205b639,2.0,1.0,20240920_190937.mp4,Galaxy S24 Ultra,2025-01-31T01:29:30.908098,야간
b17d551f-e563-4465-b501-376e1bf016c0,anonymous,59d0a107-29e7-4577-afe4-9afb9205b639,2.0,3.0,A001_09201219_C007.mp4,Galaxy S24 Ultra,2025-01-31T01:29:30.908105,실내
e9efcafd-8359-4f51-babc-4304a0aed70a,anonymous,4062b666-347e-47b2-af96-982046a299e3,2.0,4.0,A001_09201133_C004.mov,iPhone 16 Pro Max,2025-01-31T01:34:50.795600,주간
0803ae49-d2d9-4a2f-8bc6-fc20db901d2d,anonymous,4062b666-347e-47b2-af96-982046a299e3,2.0,1.0,20240920_190937.mp4,Galaxy S24 Ultra,2025-01-31T01:34:50.795612,야간
af9bf132-8c5a-4803-a3ee-d419c43c6f9e,anonymous,4062b666-347e-47b2-af96-982046a299e3,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-31T01:34:50.795616,인물
9dba34cc-4717-419f-bc8b-4c3d7fa35655,anonymous,b42c81ab-66ca-4d16-b0d7-ce932af8214a,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-31T01:39:55.580620,인물
f9b8583d-4d19-45f8-872e-e3f9efb13102,anonymous,b42c81ab-66ca-4d16-b0d7-ce932af8214a,2.0,4.0,A001_09201133_C004.mov,iPhone 16 Pro Max,2025-01-31T01:39:55.580628,주간
a99a4e37-67ea-4fc9-81ec-777f43060501,anonymous,b42c81ab-66ca-4d16-b0d7-ce932af8214a,2.0,3.0,A001_09201219_C007.mp4,Galaxy S24 Ultra,2025-01-31T01:39:55.580634,실내
e043b679-bfa5-4f2e-a59b-922ca460f4d5,anonymous,b42c81ab-66ca-4d16-b0d7-ce932af8214a,2.0,3.0,A001_09201219_C007.mp4,Galaxy S24 Ultra,2025-01-31T01:40:06.169844,실내
8f882242-169b-429e-983c-7ea868b76865,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,5.0,IMG_0038.MOV,iPhone 16 Pro Max,2025-01-31T02:09:04.722156,인물
ede07acc-61da-4a24-8a06-471d052ef018,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,4.0,A001_09201133_C004.mov,iPhone 16 Pro Max,2025-01-31T02:09:04.722170,주간
dfac7a37-bd24-419b-9f5a-90aab4814c38,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,3.0,A001_09201219_C007.mov,iPhone 16 Pro Max,2025-01-31T02:09:04.722177,실내
fba93bb5-b547-44aa-981d-1d37536427df,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,2.0,20240920_121156.mp4,Galaxy S24 Ultra,2025-01-31T02:09:04.722182,주간
b8be1891-bfdb-4f26-a42f-6b84c84687f5,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,1.0,20240920_190937.mp4,Galaxy S24 Ultra,2025-01-31T02:09:04.722187,야간
6049404f-73bb-4eb0-af76-6ea66d3e7728,anonymous,9ae75b19-eb24-4199-ad29-5bf98cd8dc43,2.0,1.0,20240920_190937.mp4,Galaxy S24 Ultra,2025-01-31T02:10:19.474278,야간
