contest_id,subject_type,dir_path,contest_name,contest_description,metadata,contest_start_date
1,,./data/contests/1/,iPhone16PM vs Galaxy S24U,아이폰 16 프로맥스와 갤럭시 S24 울트라로 촬영한 결과물입니다. 뭐가 더 좋아보이시나요?,,24.9.24.
2,,./data/contests/2/,Video,아이폰 16 프로맥스와 갤럭시 S24 울트라로 촬영한 결과물입니다. 뭐가 더 좋아보이시나요?,,24.9.24.
